[199/300] Average loss: 0.0111, time cost: 713.20s.
[200/300] Average loss: 0.0113, time cost: 698.81s.
[201/300] Average loss: 0.0112, time cost: 695.02s.
[202/300] Average loss: 0.0110, time cost: 700.56s.
[203/300] Average loss: 0.0110, time cost: 701.16s.
[204/300] Average loss: 0.0108, time cost: 704.47s.
[205/300] Average loss: 0.0113, time cost: 701.34s.
[206/300] Average loss: 0.0105, time cost: 705.08s.
[207/300] Average loss: 0.0112, time cost: 701.27s.
[208/300] Average loss: 0.0108, time cost: 701.15s.
[209/300] Average loss: 0.0112, time cost: 698.48s.
[210/300] Average loss: 0.0108, time cost: 705.99s.
[211/300] Average loss: 0.0113, time cost: 703.24s.
[212/300] Average loss: 0.0109, time cost: 703.95s.
[213/300] Average loss: 0.0111, time cost: 708.73s.
[214/300] Average loss: 0.0105, time cost: 708.13s.
[215/300] Average loss: 0.0114, time cost: 695.96s.
[216/300] Average loss: 0.0112, time cost: 702.65s.
[217/300] Average loss: 0.0111, time cost: 702.82s.
[218/300] Average loss: 0.0116, time cost: 703.44s.
[219/300] Average loss: 0.0112, time cost: 719.14s.
[220/300] Average loss: 0.0108, time cost: 716.30s.
[221/300] Average loss: 0.0110, time cost: 707.45s.
[222/300] Average loss: 0.0109, time cost: 699.56s.
[223/300] Average loss: 0.0110, time cost: 706.58s.
[224/300] Average loss: 0.0106, time cost: 707.28s.
[225/300] Average loss: 0.0109, time cost: 706.67s.
[226/300] Average loss: 0.0108, time cost: 695.82s.
[227/300] Average loss: 0.0108, time cost: 705.46s.
[228/300] Average loss: 0.0109, time cost: 700.83s.
[229/300] Average loss: 0.0108, time cost: 697.06s.
[230/300] Average loss: 0.0109, time cost: 709.55s.
[231/300] Average loss: 0.0105, time cost: 704.10s.
[232/300] Average loss: 0.0109, time cost: 705.64s.
[233/300] Average loss: 0.0110, time cost: 703.46s.
[234/300] Average loss: 0.0109, time cost: 695.16s.
[235/300] Average loss: 0.0110, time cost: 703.49s.
[236/300] Average loss: 0.0106, time cost: 703.19s.
[237/300] Average loss: 0.0107, time cost: 697.45s.
[238/300] Average loss: 0.0109, time cost: 702.26s.
[239/300] Average loss: 0.0113, time cost: 700.27s.
[240/300] Average loss: 0.0109, time cost: 700.26s.
[241/300] Average loss: 0.0105, time cost: 698.98s.
[242/300] Average loss: 0.0109, time cost: 702.01s.
[243/300] Average loss: 0.0104, time cost: 698.35s.
[244/300] Average loss: 0.0108, time cost: 700.36s.
[245/300] Average loss: 0.0106, time cost: 697.69s.
[246/300] Average loss: 0.0111, time cost: 700.79s.
[247/300] Average loss: 0.0109, time cost: 703.62s.
[248/300] Average loss: 0.0112, time cost: 714.77s.
[249/300] Average loss: 0.0109, time cost: 710.77s.
[250/300] Average loss: 0.0115, time cost: 696.19s.
